nodes 8
elements 13

nodes -> index, x, y, rx, ry, fx, fy
1,0.0,0.0,1,1,0.0,0.0
2,200.0,0.0,0,0,0.0,0.0
3,400.0,0.0,0,0,0.0,0.0
4,600.0,0.0,0,0,0.0,0.0
5,800.0,0.0,0,1,0.0,0.0
6,200.0,50.0,0,0,0.0,-1.0
7,400.0,100.0,0,0,0.0,-1.0
8,600.0,50.0,0,0,0.0,-1.0

elements -> index, 1st node, 2nd node, area, Young modulus
1,1,2,1.0,2.0e4
2,2,3,1.0,2.0e4
3,3,4,1.0,2.0e4
4,4,5,1.0,2.0e4
5,1,6,1.0,2.0e4
6,6,7,1.0,2.0e4
7,7,8,1.0,2.0e4
8,8,5,1.0,2.0e4
9,2,6,1.0,2.0e4
10,6,3,1.0,2.0e4
11,3,7,1.0,2.0e4
12,3,8,1.0,2.0e4
13,4,8,1.0,2.0e4
